generation,best_raw_reward,avg_raw_reward,worst_raw_reward,best_fitness,avg_fitness,avg_nodes,min_nodes,max_nodes
1,-126.27552664665647,-388.94689335146234,-1014.802943903107,0.9999999989999999,0.01666666665625,5.0,5,5
2,-123.026240881889,-310.5395446851633,-1628.0335683505743,0.666666666111111,0.020069444436910878,5.316666666666666,4,6
3,-112.40016940521052,-331.5285156894648,-1201.3789136186065,0.555555555148148,0.01851851851188271,5.541666666666667,4,7
4,-537.5301558746488,-393.5280616990849,-1950.4941439914328,0.49999999975,0.018055555546759257,5.791666666666667,4,8
5,-154.1480483440502,-290.4584622097728,-950.4379238759111,0.9999999989999999,0.02812499998658854,6.241666666666666,4,9
6,-134.5462012001429,-272.4781121878119,-734.9051745499635,0.9999999989999999,0.034513888873484375,6.725,4,9
7,-147.6766697703909,-267.65339336387854,-902.1552281924662,0.9999999989999999,0.03958333331366372,7.058333333333334,4,10
8,-116.91057759612491,-207.34419597005314,-806.9199912948752,0.9999999989999999,0.04166666664751158,7.3,4,10
9,-171.64237589540284,-175.68502671261825,-2081.900647141686,0.49999999949999996,0.032499999990698004,7.716666666666667,4,11
10,-202.62558252842226,-113.69009627927882,-850.2581589917278,0.33333333299999995,0.029444444438556996,7.9,4,12
11,-209.08003346226033,-117.200173617527,-625.1752509203203,0.24999999974999998,0.02708333333001335,8.35,5,13
12,-156.0135777485761,-99.4512255969926,-516.065756710649,0.1999999998,0.026773144562077855,8.641666666666667,6,13
13,-74.86566671858122,-93.70098687815157,-815.7836687379829,0.12916666665831597,0.024787028700549822,9.291666666666666,5,13
14,-84.22352681338675,-106.23388884924613,-637.8570344660873,0.1086921068206994,0.02582022462661658,9.408333333333333,5,14
15,-169.2570990600957,-168.29989412685055,-788.463230689991,0.1029476515431521,0.02535973090961119,9.175,6,14
16,-103.58642041857547,-91.91480910171876,-687.2896943586693,0.09666208036555486,0.0340602871703758,9.458333333333334,6,14
17,-122.36318309966342,-88.50439975185287,-549.6526714208854,0.08548216980546812,0.025885728241157223,9.458333333333334,6,14
18,-119.42302517507456,-102.61524202540754,-810.9556862048942,0.0658988364736096,0.025915593389022946,9.358333333333333,6,14
19,-128.11501737963695,-81.70823548898106,-686.6045851760452,0.053569832145225114,0.025478418793024475,9.545454545454545,6,15
20,-127.72386591769859,-97.53841046832676,-602.5802487032172,0.04551788409361895,0.024961355008157268,10.264462809917354,7,16
21,-135.92947497495348,-104.87920093218615,-839.216033686905,0.04195804195626926,0.02491632563889987,10.363636363636363,6,16
22,-196.0524908313975,-117.3663669905082,-819.0721575664234,0.04347826086767486,0.024835399281253483,11.325,7,17
23,-149.93359609078183,-108.46491353781374,-762.6472914599462,0.04184858619465335,0.02505287503987619,11.508333333333333,7,18
24,-179.6475583901635,-63.190463306490884,-609.0173740413793,0.03936122189672614,0.025227409862657015,11.775,7,19
25,-148.97180160042623,-102.14996720162884,-752.9171379214406,0.10730253352350852,0.024000742978841312,11.933333333333334,7,20
26,-75.43130714977094,-84.63746829051561,-1187.5661115263188,0.0872134330455426,0.025645878069422423,11.941666666666666,7,21
27,-118.00832735839731,-88.68074987219148,-584.3483642943085,0.07642728239127548,0.025734915784685994,11.933333333333334,7,22
28,-95.29273049240386,-102.67149536650713,-960.5873845064219,0.07444661049779719,0.025200188493329733,11.158333333333333,7,21
29,-94.42352709559168,-89.95847979800551,-997.188545906149,0.07691992575980737,0.02466215366486036,11.25,7,22
30,-176.18975886711968,-115.43220816202269,-740.6590601554876,0.06989079160339766,0.025138679098323572,11.091666666666667,7,23
31,-134.5472863686474,-130.3543165237684,-726.7828803867335,0.9999999989999999,0.03428930084171394,10.3109243697479,7,22
32,-191.03828896667264,-71.14492949987752,-1030.7586881889422,0.49999999949999996,0.02913352527867783,11.683333333333334,7,22
33,-297.00140293261666,-63.667019137592916,-836.9782641797276,0.33333333299999995,0.03608935511958287,9.875,6,14
34,-399.94390380223996,-63.78363614627979,-743.3542597345751,0.24999999974999998,0.027955080967635267,9.85,7,15
35,-336.0384245965244,-49.71830080277664,-686.4717060419042,0.1999999998,0.02730789005357183,10.141666666666667,7,16
36,-121.39816639823948,-47.58178204053773,-822.8864523014261,0.036299820916566125,0.025457759324306748,10.691666666666666,7,16
37,-46.24173270164111,-46.24173270164111,-811.5516553368461,0.030944361110717397,0.025170418542354127,10.575,7,17
38,-23.503326789683165,-23.503326789683165,-772.842991143775,0.03024495868910376,0.025034221603364822,10.933333333333334,8,18
39,-54.84075369662853,-52.227336211392824,-654.2048979587838,1.020202019201816,0.03332617416342189,10.858333333333333,7,17
40,-102.83160409072642,-48.00327479783214,-1201.409225160259,0.5214008053106883,0.029112520329982967,11.291666666666666,6,17
41,-80.9967225017759,-48.3343028476957,-642.4724431138686,0.3545091852127813,0.027806508130712216,11.258333333333333,6,17
42,-76.43187387913164,-33.69765193717758,-898.6394811635397,0.27149986643761276,0.02705640194103361,11.675,7,17
43,-83.11386836195393,-48.54112061014668,-1208.8518508792918,0.2215009684188612,0.026689411043308724,12.241666666666667,8,18
44,-49.97488713709414,-49.97488713709415,-823.4367062821317,0.03234589075094925,0.025053631045424456,12.775,7,18
45,-42.52989195170417,-42.478519942837664,-753.3003168529763,0.03175941806313694,0.025060249380287287,13.066666666666666,9,19
46,-51.811507313928495,-51.81150731392848,-657.973161774024,0.033594374973308985,0.02512180047231067,13.025210084033613,8,18
47,-47.61493155644057,-47.61493155644059,-635.4919336157004,0.032876370400342386,0.024828991962030096,13.710743801652892,8,18
48,-45.51441553272104,-45.514415532721046,-589.1034616035587,0.0319182470001349,0.02508882847321584,14.233333333333333,7,19
49,-54.32893235216822,-54.25496504807466,-751.7724875055476,0.03141491816743603,0.025069445277972634,14.05,7,20
50,-180.96202750417132,-53.41098045512191,-681.2436905609429,0.9999999989999999,0.03365300434944957,14.058823529411764,8,20
51,-231.40023801308877,-70.8369982915952,-676.7741597427184,0.9999999989999999,0.03784106469242796,14.193277310924369,8,20
52,-245.6687743725623,-68.74697903203285,-671.0245024379592,0.49999999949999996,0.03212343112588636,14.588235294117647,8,21
53,-212.58247912104648,-56.23187721171142,-666.4441225990624,0.33333333299999995,0.029747554982146155,14.132231404958677,7,22
54,-269.8434717814662,-64.58304619614476,-700.8896919010562,0.24999999974999998,0.02854956280737986,13.479338842975206,8,19
55,-208.6757173791647,-46.333529101573866,-1950.1514308338458,0.1999999998,0.026486632394107618,13.40495867768595,8,20
56,-143.03714079170328,-44.30170396364718,-662.9921101024632,0.49999999975,0.029772110936911646,13.314049586776859,8,19
57,-173.8343986978426,-60.30751802345445,-777.1412572949614,0.249999999875,0.027576568887695135,13.694214876033058,8,20
58,-169.86373539443548,-47.654732541291125,-771.1759199100486,0.16666666658333332,0.027274225736154567,13.766666666666667,8,20
59,-119.73803894032115,-69.79111224838022,-736.1635989188416,0.9999999989999999,0.035226160937843636,13.35,8,20
60,-142.60220716451377,-45.72800919544773,-689.5540895171373,0.49999999949999996,0.03079428070679958,13.475,10,20
61,-159.3739427412285,-51.2609328351234,-796.1139727875119,0.33333333299999995,0.02779196418755172,13.791666666666666,10,20
62,-158.55280085043222,-50.681704002176566,-918.767389746891,0.24999999974999998,0.027208125344225044,14.241666666666667,10,21
63,-135.89575199765582,-38.8944770372532,-658.7510463455775,0.1999999998,0.02697252716213804,14.38655462184874,9,21
64,-40.247016292721064,-40.247016292721064,-818.1273102238514,0.03303551061432211,0.02499416416606149,14.433333333333334,9,22
65,-131.17814072094498,-50.312693462543756,-714.5324446078934,0.9999999989999999,0.033373520524529784,14.733333333333333,9,23
66,-135.0508060988585,-50.36166930301318,-950.4217622397794,0.49999999949999996,0.029184042684197962,14.358333333333333,9,24
67,-25.360888405893814,-65.20298249822882,-763.0776833572032,1.0327281404234365,0.0360759215681493,15.483333333333333,8,23
68,-51.14402663178116,-46.876934045097016,-830.9647886395936,0.534015958553054,0.031458495050979904,14.831932773109244,7,24
69,-56.16815248995859,-55.60759135099596,-795.6838716945814,0.36737525379969993,0.029711775412201456,14.411764705882353,6,25
70,-49.156605143669836,-46.42062302156304,-657.9171151326913,0.28460882130204596,0.027033367182777598,14.516666666666667,7,24
71,-40.47228748517418,-36.68800927861334,-1271.5954533330037,0.23385158470831025,0.02680621800027843,15.65,7,25
72,-52.20136349257045,-50.92099340453045,-674.7369479328283,0.03380846678372455,0.025002569641644788,13.225,9,23
73,-51.658841646046405,-51.293309928377425,-796.2183251826611,0.03585771658017954,0.024939452193067695,14.341666666666667,9,24
74,-45.54998566107833,-45.54998566107832,-654.7545081186894,0.033831518165416345,0.025067539946893723,14.691666666666666,8,25
75,-49.62082672476749,-49.6208267247675,-672.8104346551518,0.032656042688063235,0.025078365031570998,15.225,9,25
76,-40.48866221301539,-49.67600694724426,-611.3658678672324,0.03177358541403498,0.025131775899215152,17.058333333333334,9,25
77,-46.725292873581786,-46.72529287358177,-674.0439902291744,0.03166886833116288,0.02498576632638115,17.516666666666666,10,26
78,-50.73130848746602,-50.558806511301455,-701.3326236959497,0.03052599009869911,0.025022995845717034,18.225,11,26
79,-42.65932997001715,-42.46911613725361,-1416.2983852596533,0.03146929824528392,0.025167372896992873,18.630252100840337,10,27
80,-62.16196897790469,-52.22706564458385,-684.1716553650906,0.03296968731715104,0.024974993515194135,18.125,10,26
81,-45.47026563747021,-45.35473591359768,-629.6932874026495,0.03119358152250893,0.025284710327258764,17.932773109243698,12,25
82,-94.44873378599038,-93.70930742131729,-685.8628448592128,0.030731028271123045,0.025247321928267306,17.134453781512605,12,25
83,-50.94275710272163,-50.94275710272163,-629.3346881582092,0.030306943903121195,0.02526678051240007,17.092436974789916,12,25
84,-40.54688312347777,-40.54688312347778,-696.0297088733084,0.02970010057699283,0.025113071548634423,17.558333333333334,12,26
85,-88.08514614379844,-43.841372544332415,-677.9904039743371,1.020101009100808,0.03300090879143842,17.85123966942149,11,26
86,-78.4696402740193,-42.450417777851,-846.0665573866024,0.5198544261189354,0.029181143159921916,18.241666666666667,12,27
87,-59.5160928481436,-41.340765307660334,-655.2982040859694,0.5202538278555322,0.033010965097492594,18.14876033057851,12,27
88,-206.7316834214933,-48.676981629478966,-763.7271949823291,0.9999999989999999,0.03852863845364984,19.933333333333334,13,28
89,-217.8878140893305,-50.70197166449955,-1309.019969141463,0.49999999949999996,0.03164420539014633,19.916666666666668,13,29
90,-219.25995037043936,-55.01794681161387,-823.38183701993,0.33333333299999995,0.028631066890326292,20.458333333333332,13,29
91,-217.6812927724714,-56.50884062701485,-710.205283561434,0.24999999974999998,0.027908241851122114,21.083333333333332,13,30
92,-44.67445267550202,-59.72621092611265,-678.7712088382622,1.0208333323331162,0.03501709693587823,21.675,13,30
93,-71.53165573542213,-50.79757059780154,-725.507031851392,0.5198065444948071,0.029210550535575534,22.858333333333334,13,31
94,-79.15635828617096,-28.235615552970252,-710.4443592400445,0.35273938088040796,0.0278140933129461,23.183333333333334,13,31
95,-74.80432899673124,-54.29636731171143,-1092.1617710613023,0.26970917483551055,0.02703890854841225,22.866666666666667,13,31
96,-78.42767854099944,-57.479579304364655,-676.1592780489652,0.22000026260072647,0.026645657742142604,23.025,14,32
97,-21.891945822975263,-21.844182477572268,-669.0903276232173,0.03371070253054842,0.02505919393532987,23.375,14,33
98,-228.33133533543304,-28.97727027353378,-638.0270174327345,0.9999999989999999,0.033366996209395844,23.908333333333335,13,34
99,-272.47418467601915,-48.41061357115905,-752.0134051016181,0.49999999949999996,0.029192636734027565,23.4,14,34
100,-245.97177667099882,-41.55084539731828,-705.4766445813066,0.33333333299999995,0.0278071598585788,23.633333333333333,13,35
101,-312.83589342938797,-49.077736725653445,-1011.8580744720235,0.24999999974999998,0.02716640438852706,23.608333333333334,15,34
102,-233.00732543693047,-49.34845539156577,-616.9893225099511,0.1999999998,0.026923152538342106,23.34453781512605,14,33
103,-38.89877535617606,-41.71600318672537,-818.4604174027266,0.03068341789079031,0.02520979595755708,23.252100840336134,14,32
104,-54.337063512974694,-54.33706351297467,-677.9413581149171,0.031046461137325128,0.024986391839817056,22.641666666666666,13,31
105,-43.02936162929331,-43.02936162929332,-612.0748187198534,0.030039660740292053,0.02487659507389502,24.1900826446281,13,32
106,-41.89968433413379,-41.89968433413379,-712.0087525163179,0.029895721539182258,0.025224602162933433,26.689075630252102,19,33
107,-51.4842217412759,-51.484221741275924,-747.6425476221134,0.03225806451578217,0.02488560490542652,26.7,18,33
108,-41.09346526076804,-41.155683006087905,-1338.8701942940004,0.030369822913640876,0.02533702464528276,26.73109243697479,18,34
109,-46.76314802440383,-46.76314802440385,-758.7955232321706,0.031144872490181247,0.02517534791787653,26.77310924369748,17,35
110,-48.19357240816302,-48.19357240816303,-713.6812539517034,0.03104073836543069,0.02500694227472556,27.408333333333335,17,35
111,-42.52967583355719,-42.529675833557185,-825.1520160838256,0.03056245949907215,0.025063770515267758,27.566666666666666,17,34
112,-59.88704728715231,-59.887047287152306,-678.1114800653505,0.030421844624229113,0.025028122974718608,27.541666666666668,17,34
113,-46.72978029697853,-46.72978029697852,-1146.284598108416,0.030200791899592506,0.025044210544683008,27.525,18,34
114,-45.3192977305144,-45.3192977305144,-760.7965317886424,0.029999999999700003,0.025208663062023337,27.6218487394958,18,35
115,-45.92045363858689,-45.920453638586885,-1065.9612772251005,0.028513513513241773,0.025074324324097685,27.633333333333333,18,35
116,-37.88650098407028,-37.81875569692544,-1144.6728640051458,0.029032860343258977,0.02519262699706636,27.571428571428573,18,36
117,-24.33266814010968,-24.332668140109682,-704.230264943847,0.03180291153381738,0.02493074871997101,27.675,18,36
118,-46.21429728425249,-46.21429728425249,-629.3606272781506,0.03136537329252247,0.024815084540635052,27.59504132231405,18,37
119,-44.76750597558516,-44.80286251694669,-909.6927428919687,0.030557343945576857,0.025080802934453392,27.758333333333333,18,36
120,-118.66414446955335,-33.81109394530643,-657.1823533843692,1.0097087368639834,0.033390501459844985,28.116666666666667,19,37
121,-160.38952616902878,-51.651827655398435,-682.0924794121265,0.5097087373639835,0.028950828872106357,28.016528925619834,18,35
122,-150.83240591564152,-42.13836521739117,-1338.782053535065,0.3432780471315084,0.027710831813582866,28.166666666666668,18,36
123,-151.68241424982835,-38.879845517119584,-851.6906231105675,0.259839487729561,0.02714252064087117,27.691666666666666,17,37
124,-200.9603260659209,-33.36043346887767,-597.1960354957127,0.20983237449735506,0.026460456545542802,27.74380165289256,17,36
125,-226.96498439600813,-62.71223675074311,-676.6719313616729,0.029933677608820382,0.024857578323247226,27.669421487603305,17,37
126,-45.91763601185345,-45.91763601185346,-776.0235695028313,0.029887536146403427,0.025007835206179774,27.733333333333334,18,37
127,-56.50376663796658,-56.503766637966585,-691.7675280072825,0.029423635209601607,0.025245162666670023,28.26890756302521,20,38
128,-58.10682213237224,-58.10682213237224,-1180.4959922752691,0.03515731874103804,0.024926243698353896,29.45,24,38
129,-39.44409166820377,-39.244788475398884,-1352.080889085005,0.03223694987104206,0.025048672814255615,27.558333333333334,23,38
130,-51.66802299966398,-51.668022999664,-632.7170876347982,0.03139293713647578,0.025028133757571333,27.608333333333334,23,38
131,-49.65770694988832,-49.65770694988834,-680.8391421139919,0.030532414863368225,0.025043026113422455,27.15,23,39
132,-49.349678434133004,-49.34967843413299,-694.0123870940249,0.030446946236966744,0.025005697908175886,26.833333333333332,22,39
133,-21.27612728917321,-21.276127289173214,-596.5225427483758,0.029222054557410927,0.025003153236660587,26.091666666666665,23,38
134,-55.59764939778911,-55.59764939778911,-630.0727923572973,0.030303030302724212,0.024985271901664507,25.966666666666665,23,33
135,-48.246090268230105,-48.20587575724561,-679.3727329117517,0.029667945322991593,0.02501058474942026,26.433333333333334,23,32
136,-62.58507001847445,-62.585070018474454,-712.0234431840967,0.028734014170631483,0.02503113103818811,26.158333333333335,22,33
137,-40.817930113305586,-40.81793011330558,-652.1102543156705,0.028168271845117516,0.025028287116055092,26.508333333333333,22,34
138,-44.96256436565777,-44.96256436565777,-862.974549824194,0.029508833235974537,0.024982125847875996,26.583333333333332,23,34
139,-61.77677523638272,-61.70286502918911,-685.3819016624681,0.03146929824528392,0.024983662791326845,27.266666666666666,23,35
140,-46.515143023482906,-46.51514302348289,-1057.1116449593985,0.030160419430626445,0.025021814646670523,28.083333333333332,22,35
141,-154.69771786601297,-494.45924091432863,-2396.1945888764108,0.9999999989999999,0.03333333330972222,5.0,5,5
142,-83.35863768972655,-357.6354592359689,-973.6150068296802,0.9999999989999999,0.03958333331006944,5.333333333333333,4,6
143,-253.91065441687874,-342.1321975666008,-748.3781206801301,0.6666666661666666,0.03888888886986111,5.541666666666667,4,7
144,-243.51961655764816,-311.3013897482419,-770.0379083492852,0.9999999989999999,0.04413510098556074,5.641666666666667,4,8
145,-302.04013913350025,-350.82038560368596,-825.5771124902827,0.6999999994499999,0.03078703702181533,6.066666666666666,4,9
146,-247.94493967758473,-332.50442919485073,-733.9323495491615,0.5666666662944444,0.0322288359655541,6.141666666666667,4,9
147,-418.1953994828274,-273.3948431165398,-841.8998015646057,0.6666666661444445,0.02305250304674609,6.233333333333333,4,9
148,-159.6125854026995,-222.5801541165725,-1325.6212282735928,0.9999999989999999,0.03230280502816221,6.608333333333333,4,10
149,-249.97594407620082,-160.06128237222975,-687.428011970708,0.8666666658444443,0.036638879055699396,6.7,4,10
150,-133.5977538026999,-99.41877312464638,-822.0019250694295,0.9999999989999999,0.03344648365198606,6.625,4,11
151,-29.90648236417868,-77.5961662308445,-764.7271483366078,1.0252782183955453,0.04330611543437491,6.333333333333333,4,10
152,-148.2697464533124,-106.14667082878847,-703.4546729885925,0.6111111106574073,0.030161109894855428,6.591666666666667,4,11
153,-34.12269384128906,-57.38045369185888,-1064.7404015780955,1.0217416981608174,0.03683839253383476,6.941666666666666,4,12
154,-75.67259661036614,-55.165686748245534,-892.026042184051,0.5227088989541828,0.04129344154036483,7.25,4,12
155,-114.70170133135203,-62.955347892575105,-655.596415750937,0.4116268648694601,0.027525299988614818,7.491666666666666,4,13
156,-143.24688863071637,-58.997155284563675,-587.7199177081768,0.439999999792,0.025935958880822018,7.275,4,14
157,-111.36570321925817,-61.2959668569238,-914.7458263417387,0.40186580281856754,0.02901728107542201,7.291666666666667,4,12
158,-127.15943724277466,-100.31064052628714,-736.006415921477,0.36853246951301194,0.025078109514389744,7.366666666666666,4,12
159,-132.11001905898553,-60.98770309085419,-663.4611528331018,0.3950713569679126,0.02562201211793588,7.366666666666666,4,13
160,-110.51376262046843,-65.91258820563719,-623.6893845970395,0.3348969384052657,0.027705180873195564,7.633333333333334,4,14
161,-116.24729112092787,-74.63617000390687,-685.4992538879817,0.6833333327994444,0.031554104753688514,8.041666666666666,4,14
162,-237.13506650103506,-69.17032106355593,-687.4972455423872,0.9999999989999999,0.03795910932085525,8.658333333333333,4,14
163,-275.38972011639015,-80.7137562725591,-844.7160955833717,0.49999999949999996,0.04060537797021025,8.483333333333333,4,13
164,-375.77279235670164,-98.92377697512605,-1005.0490815743278,0.33333333299999995,0.03240575121422694,9.016666666666667,4,14
165,-172.5680858036181,-78.98723710204968,-1141.0549869959118,0.2904761902624716,0.030001008481022433,9.206611570247935,4,13
166,-164.08210403398448,-103.94428685222826,-813.6257182531732,0.9999999989999999,0.03591723460234408,9.024793388429751,4,12
167,-116.33172470806433,-66.21294126768295,-975.6056393016377,0.49999999949999996,0.029967341912052504,9.225,4,12
168,-121.93993989884332,-63.67475357032571,-765.2318071808611,0.33333333299999995,0.02747645402839257,9.297520661157025,5,13
169,-121.17739904195469,-63.6203274346136,-820.470397047972,0.24999999974999998,0.0274980839515973,9.591666666666667,6,14
170,-177.236647962179,-74.17985414746617,-810.2680328020571,0.1999999998,0.026754197952851624,9.308333333333334,5,13
171,-58.48078483427132,-86.55253124125834,-782.418684909925,0.0518889992183326,0.025022716482852488,9.2,5,14
172,-60.06615567412363,-90.34845012601042,-839.8115693236638,0.05202109249901614,0.02516596402245341,9.235294117647058,5,15
173,-251.09343340888307,-47.49943408936575,-797.8110327579918,0.9999999989999999,0.0413290590777244,9.15,5,14
174,-346.44959053082687,-58.414920041768326,-1461.2751422761755,0.49999999949999996,0.02946330578930193,8.8,5,11
175,-405.1197915998861,-85.30232677081027,-851.9685246501451,0.33333333299999995,0.0280214887582717,9.25,7,12
176,-362.84834873602523,-42.66479341389402,-778.6584048167642,0.24999999974999998,0.027160375199596264,9.358333333333333,7,12
177,-352.03720889137657,-60.39159817342237,-800.9435423002085,0.1999999998,0.026679213371945433,9.841666666666667,7,13
178,-39.48617918131107,-48.49375428651647,-1119.2041434465202,0.051315789472712946,0.024489774127229892,10.099173553719009,6,14
179,-45.05216049587567,-65.98682636865574,-838.4019129534208,0.05424154333913965,0.0250103529955704,9.916666666666666,7,14
180,-57.6988037700003,-63.40393008265292,-876.5609723125299,0.04838192609631378,0.025517522106602335,9.716666666666667,6,13
181,-51.34720918150549,-61.223788612962515,-1027.4045140493974,0.046465771418089406,0.025273857754168582,10.108333333333333,6,14
182,-51.210234287718,-59.292449910387646,-769.4484618997733,0.045224004981322945,0.025240898831436615,9.766666666666667,5,13
183,-195.2543470659717,-63.07874515830428,-892.148257694905,0.9999999989999999,0.03332527216185407,9.775,6,13
184,-208.9436730293184,-58.65201738900842,-777.4212555887409,0.49999999949999996,0.029288231211946715,10.166666666666666,6,14
185,-251.95196299413297,-55.28206326473458,-808.9660215743585,0.33333333299999995,0.027877258851957954,10.291666666666666,6,14
186,-200.71297945603655,-50.69477482523512,-786.2739483434209,0.24999999974999998,0.027062733656921096,10.115702479338843,7,15
187,-45.518983493863445,-49.329516274281694,-1047.5524999448955,0.03977872293311742,0.02495564474629941,9.308333333333334,6,12
188,-40.507878852695065,-56.12360445548961,-1089.7310770597746,0.03962244851524353,0.02500781372056481,9.391666666666667,5,11
189,-35.39418515955103,-39.6937806353385,-821.5471181055782,0.03812688797767284,0.0251357907621689,9.683333333333334,6,12
190,-51.75378213367613,-55.603274846272335,-774.6031103074822,0.038085619491519215,0.02498868029896011,9.891666666666667,7,12
191,-41.43387462713751,-61.60117760152067,-850.9165886585575,0.038445708298537724,0.024986365179280125,9.883333333333333,7,13
192,-314.73272404999955,-47.92080235684717,-793.0152724779491,0.9999999989999999,0.033440858266985604,9.458333333333334,7,12
193,-305.372160805274,-65.12279191164063,-599.7822227346588,0.49999999949999996,0.029329285267565005,10.218487394957982,7,13
194,-281.57763520617254,-58.69747610199242,-762.5393195728376,0.33333333299999995,0.02751433691118579,10.735537190082646,8,13
195,-237.27103649338432,-56.05959408716262,-751.9368880424976,0.24999999974999998,0.027050452302034882,10.866666666666667,7,14
196,-254.00310752508776,-72.11996999433765,-685.0873463751802,0.1999999998,0.02660692411755765,11.40495867768595,7,15
197,-51.17233160993392,-53.64219793919077,-767.9578272667256,0.03733944865996849,0.024857435924793246,11.347107438016529,7,16
198,-50.38927991829861,-51.48744506081604,-823.9411462068067,0.03592850415193847,0.025195270860435232,11.275,7,17
199,-50.29957759142094,-52.26841790551296,-644.276359325931,0.03530700324116041,0.025109933522041012,11.241666666666667,6,16
200,-48.40373087851369,-67.69143558365731,-854.456793449442,0.03597855632696054,0.02491795244534055,11.433333333333334,6,16
