generation,best_avg_reward,avg_top_reward,worst_avg_reward,avg_nodes,min_nodes,max_nodes
1,-83.5414085620477,-385.76305622148567,-927.6998702790974,4.0,4,4
2,-68.33110794202959,-393.4168228349525,-1110.629955699941,4.1,4,5
3,-55.429218541115496,-268.98421177230705,-1031.3523567879781,4.266666666666667,4,6
4,-132.4070617564393,-298.0013129942909,-841.759250149615,4.366666666666666,4,6
5,-57.5673509173309,-296.7666091743742,-824.2321930191758,4.55,4,7
6,-92.31235347370375,-249.9707194536863,-880.5915870969027,4.541666666666667,4,7
7,-130.26253428951648,-302.5276278149969,-1119.543210295409,4.683333333333334,4,7
8,-391.24540977881344,-291.6831712722944,-1023.8390832862909,4.875,4,8
9,-100.7072538599385,-299.5027284245645,-906.3093076977646,4.958333333333333,4,8
10,-164.20076915466274,-342.8557541921289,-944.4179803781055,5.108333333333333,4,9
11,-109.10241394506897,-265.4327476920947,-1083.2100858059898,5.291666666666667,4,8
12,-103.8588331852371,-260.2376493810601,-882.4008919960042,5.508333333333334,4,9
13,-107.34967847809594,-226.6266378946774,-611.5935552594104,5.658333333333333,4,10
14,-185.32051597951835,-261.66443933180705,-622.5223583383498,5.875,4,10
15,-117.26314940883557,-292.37507462570187,-693.4901278445898,6.15,4,11
16,-136.69247978824404,-219.71961726130252,-620.083717005354,6.141666666666667,4,10
17,-281.93674348500707,-187.9334899593234,-695.213475185971,6.55,4,11
18,-159.88474456592692,-227.61151367343518,-731.0369576439907,7.016666666666667,4,12
19,-50.70351911173505,-186.14346848822564,-610.9605068269245,7.358333333333333,4,11
20,-59.90184127897943,-174.897416563785,-666.7813076912942,7.883333333333334,4,11
21,-112.84469747811177,-171.34136171438033,-627.9125138323122,7.9,4,12
22,-30.10608625879534,-175.63138919063957,-1181.8450756957159,8.183333333333334,4,12
23,-34.243213833314485,-128.26136077893972,-792.620255646998,8.066666666666666,4,12
24,-39.418947966964126,-140.62622131982974,-605.8098666251525,8.25,4,11
25,-176.05142834343718,-135.95545400787984,-1074.7641805591095,8.258333333333333,4,12
26,-162.5499272843405,-123.08185753057408,-843.9117121407729,8.025,4,12
27,-149.15982705515188,-127.88799625783254,-640.9147255549443,8.191666666666666,4,12
28,-163.45691300199866,-131.03376893652074,-631.6367820530965,8.483333333333333,4,12
29,-139.9775730687617,-114.34435533540285,-603.6227281265025,7.766666666666667,4,12
30,-185.2466406192968,-118.06232916088157,-628.3741331159486,7.875,4,13
31,-81.12191029519036,-119.31860119613393,-595.7772658885452,8.516666666666667,5,13
32,-68.63887706001826,-108.0531275398438,-656.9447578924495,8.608333333333333,5,13
33,-77.10622069923136,-119.67594093892679,-582.3125257503679,8.383333333333333,5,13
34,-49.847800763871504,-94.04473697063011,-557.2375931111925,8.7,5,13
35,-83.95766336470606,-81.82921353163066,-552.5779989393859,8.425,6,13
36,-80.0593098883385,-79.1701507295166,-1102.734995857743,8.833333333333334,6,13
37,-39.148125571954054,-56.416214499716276,-489.6404554815573,8.483333333333333,5,11
38,-46.416685421947456,-48.040568768991335,-570.3620243249873,8.45,5,12
39,-11.676932982171042,-15.725799782180689,-532.8543489693465,8.4,4,11
40,-52.953766590408506,-52.17071557874189,-800.8721047119832,8.233333333333333,4,12
41,-39.11594710376131,-40.51341733899351,-590.3451990239929,8.558333333333334,4,12
42,-319.055964106352,-42.8425195895029,-797.1382076035267,8.783333333333333,5,12
43,-208.9490724271388,-45.24529686021992,-530.9729852029244,8.533333333333333,5,12
44,-241.92095526686953,-64.6558596036476,-555.952017254987,8.475,4,11
45,-220.39090843485033,-46.74788117512108,-841.0489418949362,8.391666666666667,4,12
46,-285.49196170820306,-106.19111567728311,-587.815350063305,8.491666666666667,5,11
47,-208.21194424835852,-36.8471696861225,-541.6154543330955,8.783333333333333,4,12
48,-204.78925198920697,-46.243716672846084,-590.5562233071903,8.75,4,13
49,-199.3512369689268,-39.99718771910219,-494.59852148770403,8.775,4,12
50,-267.35847838237225,-49.53575778884213,-610.3503031569218,9.291666666666666,5,13
51,-219.205652216095,-45.51087984523806,-557.0772379218469,9.041666666666666,4,13
52,-288.2616179195792,-47.788740598502514,-604.6772495233963,8.833333333333334,4,13
53,-151.83225548959064,-35.944453629868995,-578.0783414211886,8.908333333333333,4,13
54,-167.39065658559073,-32.689241178324615,-583.9668164601526,8.916666666666666,5,14
55,-170.33985469491265,-68.01205565120992,-664.1675183688675,9.083333333333334,4,15
56,-213.07631611546427,-46.961393380812105,-868.9079378880695,8.758333333333333,5,14
57,-196.81387338387054,-33.87776984196359,-737.8908199171193,9.241666666666667,4,14
58,-27.065914707664394,-28.375454893538336,-593.5874735313826,9.7,6,14
59,-29.48310349278531,-30.81377367910809,-739.127244925108,9.775,6,14
60,-30.172005757763202,-41.454800641404304,-526.1019525928759,9.825,6,14
61,-39.94228992560653,-37.41810411582377,-833.1451915694897,10.216666666666667,6,14
62,-38.62210122534443,-35.9831784125923,-1723.1678012132743,10.658333333333333,6,14
63,-35.008114596264555,-37.55407772151917,-562.6182972845365,10.675,6,14
64,-47.62073188468874,-46.80082857666392,-689.7959942865119,10.366666666666667,6,14
65,-9.200105168172644,-16.114404660501503,-538.0151830595885,10.608333333333333,6,14
66,-31.02234863080439,-31.33419846326651,-762.0492378847806,9.983333333333333,5,15
67,-133.22701324383178,-36.78578622266772,-529.4753123784179,9.725,5,16
68,-171.27146018240052,-38.197821995307066,-599.5478587774022,9.475,4,14
69,-177.8061379533479,-45.81660880809882,-664.5290642654747,9.55,5,14
70,-234.4045468522561,-98.900545868606,-675.9091734706838,10.308333333333334,5,14
71,-174.54502707894898,-50.512915829844815,-550.8546468245552,10.391666666666667,5,15
72,-19.020486697619198,-20.526630881097553,-619.4568852901518,10.341666666666667,4,15
73,-17.231943641988515,-27.691197242930738,-597.5504589399812,9.958333333333334,4,15
74,-240.56551183817265,-136.24289883847433,-648.4845129375811,10.35,6,16
75,-151.83507473604487,-39.30612188259101,-690.1496347588984,10.168067226890756,6,15
76,-210.21203400148005,-47.88279440805507,-557.8977224794984,10.218487394957982,6,15
77,-223.12491792000782,-58.73734710545007,-767.4904083434964,10.084033613445378,7,15
78,-173.25575564777498,-55.47361916630135,-584.847101696007,10.636363636363637,6,15
79,-233.62857876337702,-49.39434978297855,-832.1317371802185,11.0,7,15
80,-268.2207937416101,-70.59864667581472,-625.9140788437128,10.967213114754099,7,15
81,-288.692361441044,-17.932753187216516,-599.6451804091254,10.454545454545455,7,15
82,-247.4409706132978,-49.375881493249594,-617.5220114824758,10.926229508196721,7,15
83,-39.82702737373647,-39.67823341196822,-593.6674231300206,11.041666666666666,7,16
84,-34.85064333210412,-34.96387477871821,-504.409522392183,10.630252100840336,7,17
85,-121.09944916644449,-118.41776958875727,-637.0260789900979,9.891666666666667,7,17
86,-36.62195525757769,-35.63900144508704,-568.805453266569,10.366666666666667,6,17
87,-55.45963735813717,-53.240028140483965,-559.1411048798384,10.809917355371901,6,16
88,-0.6883628789577131,-61.15038752900831,-610.4926351652626,10.865546218487395,5,17
89,-47.83594000549219,-87.92974933459669,-554.3601854902224,10.100840336134453,4,17
90,-49.51681057375167,-53.99410162253866,-524.020901610128,10.525,4,17
91,-29.941918958128763,-32.782076028188115,-579.1401943075032,11.075,6,18
92,-43.16660385556042,-43.882064528994526,-929.6849419477178,10.85,5,18
93,-43.45778767254837,-44.55426782886623,-599.1725225426051,10.75206611570248,6,17
94,-38.86762522704798,-42.1040125910557,-633.2259470870459,10.883333333333333,5,17
95,-13.67086438528714,-62.916150641146174,-664.4838565855723,10.873949579831933,5,16
96,-43.81287476262931,-43.49721260487213,-803.0363381444405,10.825,5,17
97,-43.01934262652921,-62.45123367161013,-560.028678424643,9.991666666666667,4,18
98,-137.50799342526017,-68.110752082977,-746.4945783291942,9.983333333333333,5,18
99,-110.75600364950874,-43.47332764977714,-610.6458591392268,8.391666666666667,6,11
100,-35.49734718463395,-35.6643418535108,-629.9859018745457,8.741666666666667,6,12
101,-3.359007025916094,-135.82654629631807,-674.752333419109,8.816666666666666,6,12
102,-39.75920959488189,-36.36541113920723,-918.7674283100057,9.125,6,13
103,-42.347863346233495,-43.77547091518719,-514.8997425593891,9.491666666666667,5,14
104,-96.40971788962472,-23.818415354101774,-509.0936155155429,9.275,6,13
105,-144.844078985542,-39.84160407670423,-961.6964833677133,9.058333333333334,5,13
106,-134.1941976263842,-41.46276088730108,-1745.397922072611,8.816666666666666,5,13
107,-151.06573486979582,-44.2585492058955,-568.9324307400632,8.483333333333333,4,13
108,-139.91042706824618,-39.275163370439934,-1279.3682523340794,8.791666666666666,4,14
109,-37.77637121844553,-37.88601506334386,-1106.357832167796,9.466666666666667,5,14
110,-1.4619777121914068,-39.797623390516605,-605.5640551817515,9.4,4,14
111,-53.82254817094669,-25.646017378973195,-602.4610843208379,8.941666666666666,4,14
112,-23.044339644659907,-41.36256740044906,-602.4450530809102,9.383333333333333,4,15
113,-4.515501906015521,-38.28593791350412,-616.8418186020964,9.008333333333333,4,14
114,-136.1481956650911,-53.43326719632102,-684.044335425907,9.425,4,15
115,-173.58700751313648,-50.76464852133514,-653.7336886518436,9.891666666666667,5,15
116,-253.01638040388912,-56.314762248636434,-661.2510712473693,9.975,4,16
117,-189.60033896730343,-61.18682170045926,-814.917883703742,9.975,5,16
118,-145.16451550765973,-39.04231752817934,-788.4444804049656,10.3,5,16
119,-181.67442371430155,-58.66470717690151,-577.3062511688837,10.558333333333334,7,16
120,-8.403823865206366,-50.319318726233156,-611.3909968277371,10.366666666666667,8,15
121,-42.11114901133815,-56.60585066736166,-868.386473054187,10.425,7,15
122,0.6434852533406967,-39.00395066186103,-819.2822330229565,10.233333333333333,6,15
123,-31.587773368775878,-34.08293811806105,-1528.0973161178217,10.308333333333334,6,15
124,-57.40812834288604,-45.332023283155614,-609.195016144254,10.283333333333333,6,16
125,-31.17579949125843,-31.60370356871703,-590.3658544530007,9.633333333333333,7,14
126,-41.967145904877285,-41.14978837499048,-726.9506547184535,9.45,7,12
127,-33.625999652013085,-34.222927717772684,-635.2441222945127,9.475,7,13
128,-208.33803323045245,-41.21473228880146,-560.3091343642218,9.208333333333334,7,12
129,-235.26268712413247,-12.909046979214184,-631.0082483001336,9.191666666666666,6,12
130,-261.3692234211595,-41.79069479284673,-645.286681845003,9.408333333333333,6,12
131,-37.25043625176714,-65.3875715531096,-617.6842313907721,9.5,6,12
132,-75.80945882614397,-57.4498947297978,-615.2952902764664,9.658333333333333,5,12
133,-30.319501825355893,-8.263020475647957,-557.0475318440532,9.925,7,13
134,-69.86019021081941,-45.84952160423348,-1142.1254670735111,10.125,7,14
135,-68.81474927930401,-58.511485187848095,-613.210027163663,10.033333333333333,6,14
136,-41.56000879325684,-43.4095819577019,-1610.0396003774072,10.258333333333333,7,14
137,-38.76419158160685,-39.138658891752584,-1104.3637904403106,10.366666666666667,7,14
138,-91.0428588522296,-112.04485979266904,-589.6906639152861,10.316666666666666,7,14
139,-43.904816242372576,-51.1614668180848,-590.0298780114529,10.525,6,15
140,-34.72979533620325,-38.442470261652566,-605.492706923426,10.766666666666667,7,14
141,-36.25147439628735,-42.715826747926826,-531.8928352556808,10.158333333333333,7,14
142,-207.47001624540712,-53.44707523213536,-570.6164409621888,10.083333333333334,6,15
143,-230.54898627267545,-41.294259135196356,-609.8016946781185,9.858333333333333,6,14
144,-249.36929866446866,-46.26216888411656,-599.6270543111724,9.975,6,14
145,-233.5833250114988,-40.95536152364961,-806.5569584711805,9.316666666666666,6,15
146,-272.29559562186586,-59.22172128048143,-573.8658128385085,9.166666666666666,5,14
147,-39.25809541169393,-40.198295262286294,-646.5646247446386,9.283333333333333,4,14
148,-46.53964810773185,-47.28243086988989,-737.5521857530151,8.55,4,14
149,-30.5899340268784,-30.917071943297895,-918.9876203005679,8.566666666666666,4,13
150,-22.30762441215854,-22.195495091709848,-534.9108189603559,8.225,5,11
151,-155.2132491375494,-36.6051139078304,-583.4987313935596,8.216666666666667,5,12
152,-175.36108035012865,-37.46743082207525,-583.764254073902,8.158333333333333,5,13
153,-183.29480728235984,-51.143905482366044,-507.365622846894,8.291666666666666,5,13
154,-160.52975067933704,-52.24592544273832,-617.2982511469685,8.291666666666666,5,13
155,-0.3104906949184937,-24.164807919361223,-606.1621783086473,8.275,5,14
156,-55.78181767312583,-56.621890748102096,-603.1084686830077,8.441666666666666,5,15
157,-53.674653467023845,-56.78456147861413,-597.5499657918558,8.201680672268907,4,16
158,-38.715209857998744,-41.59018523041713,-554.5018226844262,7.974789915966387,4,14
159,-40.67878323336167,-41.68182303599602,-733.3154988235849,8.133333333333333,5,11
160,-39.075888182662254,-29.502405115942725,-710.7232306502272,8.225,5,11
161,-37.55417785618547,-37.97694632844564,-700.5467460642825,8.358333333333333,5,12
162,-2.984020362057919,-25.829290688098922,-550.1680069395359,8.591666666666667,6,13
163,-28.030550123387002,-34.534991021029114,-642.61537390021,8.453781512605042,5,13
164,-57.461070309823526,-59.10399285847507,-579.6092835084191,8.512605042016807,5,12
165,-40.0000213282361,-48.735532804776156,-602.4247029455237,8.15126050420168,5,12
166,-49.20136273915818,-55.306157406902614,-603.1842506065911,8.366666666666667,4,13
167,-40.09907734419832,-40.342108948611134,-555.8035245524062,8.669421487603305,5,14
168,-39.81252473652117,-39.58533986937817,-613.7022324535736,8.983333333333333,5,15
169,-46.98249316560418,-50.56189554108176,-574.6806112405944,9.3,5,14
170,-40.41743268842272,-40.271927714079524,-613.4692626388229,9.275,5,15
171,-49.141033429969966,-49.31064587917855,-583.9514688404046,9.495798319327731,5,15
172,-30.957439035195705,-38.96184320393137,-523.5820782444534,9.478991596638656,5,15
173,-65.78224665888993,-59.54611121000046,-1068.3406275038044,9.264462809917354,5,13
174,-74.43236390896192,-48.15855647048263,-550.7176170570584,9.275,4,13
175,-70.1091919444636,-47.02514248864372,-800.7040833248795,9.0,4,13
176,-56.123999992646034,-45.750342495880105,-498.868799535314,9.025423728813559,4,14
177,-145.27805931650312,-105.82769533142536,-656.2368281482302,9.15702479338843,4,14
178,-174.40464707377265,-127.2212539336508,-932.7890941201271,9.4,4,14
179,-133.35317948789478,-58.79916464273111,-573.0366114572678,9.840336134453782,6,13
180,-245.7299158528719,-47.173205930136795,-587.5539660574326,9.425,6,13
181,-313.2386546449617,-64.31423410766905,-596.3776167120187,9.766666666666667,7,14
182,-249.5659356011319,-49.147911340027704,-763.6430719784759,9.508333333333333,7,13
183,-295.1363994348411,-48.42646300726326,-697.3454882629997,9.554621848739496,7,13
184,-297.20857409836583,-57.63222197376268,-590.4935505943648,9.6890756302521,6,13
185,-32.707651371669925,-33.00541563446392,-617.2683415434601,9.775,6,13
186,-51.87128530543612,-51.864623485654654,-635.5011531609297,9.725,6,13
187,-119.01416894222378,-116.54660065823781,-1239.6631526367823,9.775,7,13
188,-37.86551602444182,-37.18355581443814,-586.3406684869403,9.866666666666667,6,13
189,-49.934593026555795,-49.20377819921119,-586.7388063711262,9.92436974789916,5,13
190,-41.14019400620094,-41.27302893296289,-672.8416457362034,9.858333333333333,6,13
191,-51.697957680851516,-50.806695386291345,-524.947649221615,9.941666666666666,6,14
192,-12.77830852964965,-52.59970311678149,-606.2023788129212,9.966666666666667,5,14
193,-11.320951370700007,-30.454337972117525,-582.9413385285338,10.239669421487603,7,15
194,-50.99482755210734,-52.97223034602173,-615.5670101501071,10.140495867768594,6,14
195,-43.79962565656298,-44.882897886225855,-511.9056155779702,9.983193277310924,6,14
196,-120.95752545852952,-41.978446940544366,-605.6076300008248,9.716666666666667,6,14
197,-146.01689080536588,-41.59657185172713,-476.7938523974012,9.608333333333333,5,15
198,-102.83587729032999,-62.60848086785991,-2019.472858601082,9.75206611570248,6,15
199,-227.55559538989593,-40.27246413998224,-655.8515870809503,10.191666666666666,6,16
200,-156.20434067728706,-47.3042395691123,-589.9830840023662,10.108333333333333,6,15
